site_id,region,sub_region,city,lat,lng,priority,demographic,grid_type,fiber_pop,ssrf,batch
53405,North,N2,Pabbi_Rural,34.047443,71.740827,New Construction,Rural,Prime,0,,Batch-1
53768,North,N1,Islamabad_Rural,33.689317,73.211732,New Construction,Suburban,Good Grid,0,,Batch-1
53772,North,N1,Rawalpindi,33.639121,73.168527,New Construction,Suburban,Good Grid,0,,Batch-1
50712,North,N2,Peshawar,33.991596,71.438483,New Construction,Urban,Good Grid,0,,Batch-1
51187,North,N2,Peshawar,34.0107,71.55344,Sharing,Urban,Good Grid,0,,Batch-1
52295,North,N2,Peshawar,34.017,71.5527,Sharing,Urban,Good Grid,0,,Batch-1
52479,North,N2,Peshawar,33.99529,71.44401,New Construction,Urban,Good Grid,0,,Batch-1
51126,North,N2,Peshawar,34.000702,71.538106,Sharing,Urban,Good Grid,0,,Batch-1
50747,North,N2,Peshawar,34.006162,71.537134,New Construction,Urban,Good Grid,0,,Batch-1
52412,North,N1,Pindigheb,33.239433,72.271515,New Construction,Rural,Poor Grid,0,,Batch-1
53285,North,N1,Pindigheb,33.248396,72.265054,New Construction,Rural,Poor Grid,0,,Batch-1
53751,North,N1,Rawalpindi,33.59413,73.09225,New Construction,Urban,Bad Grid,FTTS ,,Batch-1
53149,North,N1,Rawalpindi_Rural,33.530357,72.968573,New Construction,Suburban,Good Grid,0,,Batch-1
53166,North,N3,Swat,35.208913,72.544099,New Construction,Rural,Good Grid,0,,Batch-1
53781,North,N1,Attock_Rural,33.808664,72.350402,New Construction,Suburban,Good Grid,0,Yes,Batch-1
52255,North,N1,Taxila_Rural,33.80568,72.759948,New Construction,Urban,Good Grid,0,,Batch-1
51227,North,N1,Wah+Texila,33.75504,72.754122,New Construction,Suburban,Good Grid,0,,Batch-1
53683,North,N1,Taxila,33.771617,72.714615,Sharing,Suburban,Prime,0,,Batch-1
51292,North,N1,Wah+Texila,33.763817,72.762012,New Construction,Suburban,Good Grid,0,,Batch-1
51293,North,N1,Wah+Texila,33.779259,72.722673,New Construction,Suburban,Prime,0,,Batch-1
51984,North,N1,Wah+Texila,33.769409,72.738732,Sharing,Suburban,Good Grid,0,,Batch-1
52246,North,N1,Wah+Texila,33.75552,72.745935,Sharing,Suburban,Good Grid,0,,Batch-1
52248,North,N1,Wah+Texila,33.771042,72.748325,Sharing,Suburban,Prime,0,,Batch-1
52250,North,N1,Wah+Texila,33.774577,72.75974,New Construction,Suburban,Prime,0,,Batch-1
53200,North,N1,Wah+Texila,33.8004,72.7502,Sharing,Urban,Good Grid,0,,Batch-1
53282,North,N1,Wah+Texila,33.752284,72.735755,New Construction,Suburban,Good Grid,0,,Batch-1
52654,North,N1,Wah+Texila,33.733933,72.829116,Sharing,Suburban,Good Grid,0,,Batch-1
53284,North,N1,Wah+Texila,33.739757,72.829141,New Construction,Suburban,Good Grid,0,,Batch-1
50745,North,N1,Wah+Texila,33.75838,72.77339,Sharing,Suburban,Prime,0,,Batch-1
51295,North,N1,Wah+Texila,33.753876,72.775415,Sharing,Suburban,Prime,0,,Batch-1
43666,Central,C1,Raiwind_Rural,31.322932,74.245486,New Construction,Rural,Poor Grid,0,Yes,Batch-1
43698,Central,C1,Raiwind_Rural,31.31479,74.22703,Sharing,Rural,Poor Grid,0,Yes,Batch-1
43540,Central,C1,Lahore,31.40462,74.21249,New Construction,Rural,Good Grid,0,,Batch-1
43776,Central,C1,Lahore,31.402311,74.18327,New Construction,Urban,Good Grid,0,,Batch-1
43535,Central,C1,Lahore,31.406319,74.289506,New Construction,Urban,0,0,,Batch-1
43460,Central,C4,Bahawalnagar,29.9892,73.2268,Sharing,Suburban,Good Grid,0,Yes,Batch-1
43509,Central,C4,Bahawalnagar,29.981954,73.253648,New Construction,Suburban,Good Grid,0,,Batch-1
43521,Central,C4,Mian Channu,30.4563,72.356,Sharing,Urban,Good Grid,0,,Batch-1
43633,Central,C4,Okara,30.815198,73.436695,New Construction,Urban,Good Grid,FTTS ,,Batch-1
43697,Central,C1,Lahore,31.395147,74.209424,New Construction,Rural,Good Grid,0,,Batch-1
43851,Central,C4,Bahawalnagar,29.97636,73.25995,New Construction,Suburban,Good Grid,0,,Batch-1
43833,Central,C5,Sialkot_Rural,32.47518,74.4513,New Construction,Suburban,Good Grid,Fiber POP,,Batch-1
61947,South,S3,Hub,25.0547,66.884,Sharing,Urban,Poor Grid,0,,Batch-2
62065,South,S1,Hub_Rural,25.0792,66.9392,New Construction,Urban,Poor Grid,0,,Batch-2
43880,Central,C4,Fort Abbas,29.1866,72.8535,Sharing,Suburban,Good Grid,0,,Batch-2
43882,Central,C1,Lahore,31.406142,74.302117,New Construction,Urban,0,0,,Batch-2
43884,Central,C1,Lahore,31.39161,74.21254,New Construction,Rural,Good Grid,0,,Batch-2
43898,Central,C2,Toba Tek Singh_Rural,30.9694,72.4109,Sharing,Rural,Good Grid,0,,Batch-2
43899,Central,C2,Toba Tek Singh,30.9656,72.4452,Sharing,Rural,Good Grid,0,,Batch-2
43904,Central,C3,Kot Addu_Rural,30.5519,71.23,Sharing,Suburban,Good Grid,Fiber POP,,Batch-2
43908,Central,C3,Alipur_Rural,29.3696,70.7517,Sharing,Rural,Good Grid,0,,Batch-2
43914,Central,C3,Kot Addu_Rural,30.57654,71.03126,New Construction,Rural,Good Grid,0,,Batch-2
43921,Central,C3,Kot Chhutta_Rural,29.983388,70.679297,New Construction,Rural,Poor Grid,0,,Batch-2
43923,Central,C3,Kot Chhutta_Rural,29.9603,70.6976,Sharing,Rural,Poor Grid,0,,Batch-2
43924,Central,C3,Kot Chhutta_Rural,29.871744,70.612965,New Construction,Suburban,Good Grid,0,,Batch-2
43925,Central,C3,Kot Chhutta_Rural,29.84932,70.66284,Sharing,Suburban,Good Grid,0,,Batch-2
43940,Central,C3,Kot Chhutta_Rural,29.953276,70.655409,New Construction,Rural,Poor Grid,0,,Batch-2
43948,Central,C4,-,30.4441,72.3576,Sharing,Urban,Good Grid,0,,Batch-2
43949,Central,C4,-,29.6069,73.1434,New Construction,Suburban,Good Grid,0,,Batch-2
43953,Central,C4,-,30.4548,72.3583,Sharing,Urban,Good Grid,0,,Batch-2
43954,Central,C4,-,30.8232,73.4313,New Construction,Urban,Good Grid,FTTS ,,Batch-2
43955,Central,C4,-,29.60242,73.162748,New Construction,Suburban,Good Grid,0,,Batch-2
43959,Central,C5,Sialkot_Rural,32.463551,74.471407,New Construction,Suburban,Good Grid,Fiber POP,,Batch-2
43974,Central,C5,Zafarwal_Rural,32.359812,74.944421,New Construction,Suburban,Good Grid,0,Yes,Batch-2
43976,Central,C5,Zafarwal,32.3401,74.912,Sharing,Suburban,Good Grid,0,Yes,Batch-2
43985,Central,C4,Haroonabad_Rural,29.328773,72.966038,New Construction,Suburban,Good Grid,0,,Batch-2
53810,North,N1,Rawalpindi,33.566339,72.946122,New Construction,Suburban,Good Grid,0,,Batch-2
44001,Central,C4,-,29.99312,73.24394,Sharing,Suburban,Good Grid,0,Yes,Batch-2
53812,North,N1,Rawalpindi,33.63012,73.046177,New Construction,Urban,Good Grid,0,,Batch-2
53814,North,N1,Rawalpindi,33.635274,73.030916,New Construction,Urban,Good Grid,0,,Batch-2
62498,South,S4,Khairpur,27.113678,68.606697,New Construction,Rural,Poor Grid,0,,Batch-2
51008,North,N1,Rawalpindi,33.60562,73.09259,New Construction,Urban,Bad Grid,FTTS ,,Batch-2
52676,North,N3,Kabal,34.82703,72.34735,New Construction,Rural,Good Grid,0,,Batch-2
53013,North,N3,Fatehpur Thakiala_Rural,33.4895,74.1019,Sharing,Rural,Good Grid,0,Yes,Batch-2
62395,South,S4,Larkana,27.550547,68.223302,New Construction,Urban,Bad Grid,0,,Batch-2
62406,South,S3,Karezat_Rural,30.4934,67.1264,Sharing,Suburban,Bad Grid,0,,Batch-2
62412,South,S3,Quetta,30.17678,67.02409,New Construction,Urban,Good Grid,0,,Batch-2
62422,South,S3,Quetta,30.168037,67.0243,New Construction,Urban,Good Grid,0,,Batch-2
53791,North,N1,Hasan Abdal_Rural,33.774323,72.695027,New Construction,Suburban,Prime,0,,Batch-2
53792,North,N1,Attock_Rural,33.816362,72.360022,Sharing,Suburban,Good Grid,0,Yes,Batch-2
53794,North,N3,Haripur_Rural,33.827565,72.904057,New Construction,Rural,Good Grid,0,,Batch-2
62434,South,S1,Karachi,24.823067,67.182975,New Construction,Suburban,Prime,0,,Batch-2
62445,South,S1,Karachi,25.03617,67.090033,New Construction,Urban,Good Grid,0,,Batch-2
62446,South,S1,Karachi,25.038225,67.099943,New Construction,Urban,Good Grid,0,,Batch-2
62450,South,S1,Karachi,24.81721,67.192734,New Construction,Suburban,Prime,0,,Batch-2
62452,South,S3,Quetta,30.17419,66.95797,Sharing,Suburban,Poor Grid,0,,Batch-2
53806,North,N1,-,33.714598,72.926759,New Construction,Urban,Good Grid,0,,Batch-2
53808,North,N2,-,34.13164,71.600141,New Construction,Rural,Bad Grid,Fiber POP,,Batch-2
62462,South,S2,Shahpur Chakar,26.170626,68.619028,New Construction,Rural,Poor Grid,0,,Batch-2
62464,South,S2,Nawabshah,26.275017,68.154123,Sharing,Rural,Bad Grid,0,Yes,Batch-2
62467,South,S3,Quetta,30.168558,66.962555,New Construction,Suburban,Poor Grid,0,,Batch-2
62471,South,S4,Larkana,27.5425,68.2613,Sharing,Urban,Bad Grid,0,,Batch-2
53785,North,N2,Peshawar,33.980038,71.638411,Sharing,Suburban,Bad Grid,0,,Batch-2
53538,North,N2,Peshawar_Rural,34.123578,71.632524,Sharing,Rural,Bad Grid,Fiber POP,,Batch-2
62391,South,S1,Karachi,25.022207,67.094168,Sharing,Urban,Good Grid,0,,Batch-2
61810,South,S3,Karezat_Rural,30.5721,67.1088,Sharing,Suburban,Bad Grid,0,,Batch-2
61994,South,S3,Karezat_Rural,30.5731,67.1346,Sharing,Suburban,Bad Grid,0,,Batch-2
43798,Central,C3,Kot Addu,30.574694,70.935889,,Rural,Good Grid,0,,Batch-3
53819,North,N2,Bara,33.9138,71.4128,,Rural,Bad Grid,0,,Batch-3
53822,North,N2,Peshawar,33.8544,71.45847,,Rural,Bad Grid,0,,Batch-3
53823,North,N2,Peshawar,33.888,71.4369,,Rural,Bad Grid,0,,Batch-3
53824,North,N3,Kalam,35.463791,72.587475,,Rural,Prime,0,,Batch-3
53526,North,N3,Haveli_Rural,33.880756,74.057787,,Rural,Good Grid,0,,Batch-3
53527,North,N3,Haveli_Rural,33.875535,74.080198,,Rural,Good Grid,0,,Batch-3
53530,North,N3,Haveli_Rural,33.907271,74.125852,,Rural,Good Grid,0,,Batch-3
53013,North,N3,Fatehpur Thakiala_Rural,33.4895,74.1019,,Rural,Good Grid,0,Yes,Batch-3
44023,Central,C2,JHANG,31.055477,72.061344,,Rural,Good Grid,0,,Batch-4
44024,Central,C2,JHANG,31.128686,72.089997,,Rural,Good Grid,0,,Batch-4
44029,Central,C2,JHANG,30.76376,71.79984,,Rural,Poor Grid,Fiber POP,Yes,Batch-4
44031,Central,C2,JHANG,30.681554,71.768879,,Rural,Good Grid,0,,Batch-4
44036,Central,C2,JHANG,31.620054,72.20406,,Rural,Good Grid,0,,Batch-4
44043,Central,C2,JHANG,31.579996,72.172141,,Suburban,Good Grid,Fiber POP,,Batch-4
44048,Central,C2,JHANG,31.3817,72.5212,,Rural,Good Grid,0,,Batch-4
44049,Central,C2,JHANG,31.3201,72.4977,,Rural,Good Grid,0,,Batch-4
44051,Central,C2,JHANG,31.3025,72.5359,,Rural,Good Grid,0,,Batch-4
44060,Central,C2,JHANG,30.818862,72.151297,,Rural,Good Grid,0,,Batch-4
44067,Central,C2,JHANG,31.307716,72.608978,,Rural,Good Grid,0,,Batch-4
44070,Central,C2,JHANG,30.96938,72.330158,,Rural,Good Grid,0,,Batch-4
44072,Central,C2,JHANG,31.578923,72.417025,,Rural,Good Grid,0,,Batch-4
44074,Central,C1,LAHORE,31.406736,74.1739,,Urban,Good Grid,0,,Batch-4
44151,Central,C5,MANDI BAHAUDDIN,32.683476,73.555915,,Rural,Good Grid,0,,Batch-4
44152,Central,C5,MANDI BAHAUDDIN,32.65525,73.623807,,Rural,Good Grid,0,,Batch-4
44158,Central,C5,MANDI BAHAUDDIN,32.649431,73.556997,,Rural,Good Grid,0,,Batch-4
44163,Central,C5,MANDI BAHAUDDIN,32.436958,73.570881,,Rural,Poor Grid,Fiber POP,,Batch-4
44166,Central,C5,MANDI BAHAUDDIN,32.574426,73.61129,,Rural,Good Grid,0,,Batch-4
44167,Central,C5,MANDI BAHAUDDIN,32.507064,73.57184,,Rural,Good Grid,0,,Batch-4
44170,Central,C5,MANDI BAHAUDDIN,32.431942,73.363045,,Rural,Good Grid,0,,Batch-4
44181,Central,C5,MANDI BAHAUDDIN,32.3335,73.2614,,Rural,Good Grid,0,,Batch-4
44222,Central,C3,MUZAFFARGARH,30.581913,71.199502,,Suburban,Good Grid,Fiber POP,,Batch-4
44226,Central,C3,MUZAFFARGARH,30.304691,71.058344,,Rural,Good Grid,0,,Batch-4
44230,Central,C3,MUZAFFARGARH,30.316555,71.015428,,Rural,Good Grid,0,,Batch-4
44231,Central,C3,MUZAFFARGARH,30.398557,70.861271,,Rural,Good Grid,0,,Batch-4
44232,Central,C3,MUZAFFARGARH,30.577538,71.056439,,Rural,Good Grid,0,,Batch-4
44233,Central,C3,MUZAFFARGARH,30.451656,70.894392,,Suburban,Good Grid,0,,Batch-4
44237,Central,C3,MUZAFFARGARH,29.550989,70.944713,,Rural,Good Grid,0,,Batch-4
44239,Central,C3,MUZAFFARGARH,29.349388,70.85185,,Rural,Good Grid,Fiber POP,Yes,Batch-4
44251,Central,C3,MUZAFFARGARH,29.872552,70.978861,,Rural,Good Grid,0,,Batch-4
44253,Central,C3,MUZAFFARGARH,29.282404,70.893028,,Rural,Good Grid,0,,Batch-4
62591,South,S2,SHAHEED BENAZIRABAD,26.342858,68.166456,,Rural,Bad Grid,Fiber POP,,Batch-4
53847,North,N3,SWAT,34.911599,72.55344,,Rural,Good Grid,0,Yes,Batch-4
53849,North,N3,SWAT,34.78838,72.347226,,Suburban,Good Grid,0,,Batch-4
53853,North,N3,SWAT,34.7881,72.2814,,Rural,Good Grid,0,,Batch-4
53854,North,N3,SWAT,34.785833,72.229773,,Rural,Good Grid,0,,Batch-4
53855,North,N3,SWAT,34.6638,72.3418,,Rural,Good Grid,0,,Batch-4
53860,North,N3,SWAT,34.947523,72.527338,,Rural,Good Grid,0,Yes,Batch-4
53861,North,N3,SWAT,34.979168,72.546977,,Rural,Good Grid,0,Yes,Batch-4
53862,North,N3,SWAT,35.137551,72.54486,,Rural,Good Grid,0,,Batch-4
53864,North,N3,SWAT,35.123066,72.586805,,Rural,Good Grid,0,,Batch-4
53866,North,N3,SWAT,35.232228,72.568172,,Rural,Good Grid,0,,Batch-4
53870,North,N3,SWAT,34.814591,72.36646,,Rural,Good Grid,0,,Batch-4
53873,North,N3,SWAT,34.912768,72.409733,,Rural,Good Grid,0,,Batch-4
53875,North,N3,SWAT,34.934869,72.404113,,Rural,Good Grid,0,,Batch-4
53877,North,N3,SWAT,35.0714,72.474,,Rural,Good Grid,0,,Batch-4
53878,North,N3,SWAT,35.123043,72.388183,,Rural,Good Grid,0,,Batch-4
53879,North,N3,SWAT,34.979604,72.321624,,Rural,Good Grid,0,,Batch-4
53883,North,N3,SWAT,35.1125,72.3265,,Rural,Good Grid,0,,Batch-4
53832,North,N2,Kohat-Hangu,33.52268,71.07342,,Rural,Bad Grid,Fiber POP,,Batch-4
53833,North,N2,Kohat-Hangu,33.5313,71.08528,,Rural,Bad Grid,Fiber POP,,Batch-4
53836,North,N2,Kohat-Hangu,33.51709,71.05316,,Rural,Bad Grid,Fiber POP,,Batch-4
53838,North,N2,Kohat-Hangu,33.52399,71.03995,,Rural,Bad Grid,Fiber POP,,Batch-4
53844,North,N2,Kohat-Hangu,33.43111,71.36823,,Rural,Good Grid,0,,Batch-4
53845,North,N2,Kohat-Hangu,33.45392,71.28841,,Rural,Good Grid,0,,Batch-4
53848,North,N3,Swat,34.76283,72.34999,,Suburban,Good Grid,Planned Fiber POP,,Batch-4
53849,North,N3,Swat,34.788972,72.347375,,Suburban,Good Grid,0,,Batch-4
53850,North,N3,Swat,34.79967,72.313616,,Rural,Good Grid,0,,Batch-4
53852,North,N3,Swat,34.767129,72.335359,,Suburban,Good Grid,0,,Batch-4
53853,North,N3,Swat,34.80964,72.28051,,Rural,Good Grid,0,,Batch-4
53854,North,N3,Swat,34.787558,72.235174,,Rural,Good Grid,0,,Batch-4
53855,North,N3,Swat,34.669331,72.343314,,Rural,Good Grid,0,,Batch-4
53857,North,N3,Swat,34.8065,72.5691,,Suburban,0,0,,Batch-4
53858,North,N3,Swat,34.94143,72.47777,,Rural,Good Grid,Fiber POP,,Batch-4
53859,North,N3,Swat,34.94125,72.47021,,Rural,Good Grid,Fiber POP,,Batch-4
53861,North,N3,Swat,34.966684,72.557912,,Rural,Good Grid,0,Yes,Batch-4
53862,North,N3,Swat,35.13811,72.54564,,Rural,Good Grid,0,,Batch-4
53863,North,N3,Swat,35.129649,72.510762,,Rural,Good Grid,0,,Batch-4
53864,North,N3,Swat,35.12306,72.5862,,Rural,Good Grid,0,,Batch-4
53865,North,N3,Swat,35.21206,72.5468,,Rural,Good Grid,0,,Batch-4
53866,North,N3,Swat,35.231385,72.568555,,Rural,Good Grid,0,,Batch-4
53867,North,N3,Swat,35.5425,72.6609,,Rural,Prime,0,,Batch-4
53868,North,N3,Swat,35.52515,72.40897,,Rural,Prime,0,,Batch-4
53870,North,N3,Swat,34.83752,72.34837,,Rural,Good Grid,0,,Batch-4
53872,North,N3,Swat,34.87236,72.41159,,Rural,Good Grid,0,,Batch-4
53873,North,N3,Swat,34.91413,72.41124,,Rural,Good Grid,0,,Batch-4
53874,North,N3,Swat,34.916176,72.394699,,Rural,Good Grid,0,,Batch-4
53875,North,N3,Swat,34.93338,72.405276,,Rural,Good Grid,0,,Batch-4
53876,North,N3,Swat,34.9518,72.436,,Rural,Good Grid,0,,Batch-4
53877,North,N3,Swat,35.07043,72.4688,,Rural,Good Grid,0,,Batch-4
53878,North,N3,Swat,35.1364,72.39378,,Rural,Good Grid,0,,Batch-4
53879,North,N3,Swat,34.980536,72.326633,,Rural,Good Grid,0,,Batch-4
53880,North,N3,Swat,34.9993,72.3659,,Rural,Good Grid,0,,Batch-4
53882,North,N3,Swat,35.07155,72.32199,,Rural,Good Grid,0,,Batch-4
53883,North,N3,Swat,35.11368,72.32642,,Rural,Good Grid,0,,Batch-4
53884,North,N3,Swat,35.06247,72.25298,,Rural,Prime,0,,Batch-4
53885,North,N3,Swat,34.6807,72.12238,,Rural,Good Grid,0,,Batch-4
53887,North,N3,Swat,34.65061,72.15107,,Rural,Poor Grid,0,,Batch-4
Temp-2,North,North-3,Lower Dir,34.8102,72.0913,Sharing,Rural,Prime,0,,Batch-Special
Temp-3,North,North-3,Lower Dir,34.725885,72.092549,Sharing,Rural,Prime,0,,Batch-Special
Temp-4,North,North-3,Lower Dir,34.77874,72.12719,Sharing,Rural,Prime,0,,Batch-Special
Temp-5,North,North-3,Lower Dir,34.8143,72.1798,Sharing,Rural,Dark site,0,,Batch-Special
Temp-7,North,North-3,Lower Dir,34.8642,71.7264,Sharing,Rural,Bad Grid,0,,Batch-Special
Temp-8,North,North-3,Lower Dir,34.8355,71.6944,Sharing,Rural,Bad Grid,0,,Batch-Special
Temp-9,North,North-3,Lower Dir,34.8198,71.6896,New Construction,Rural,Poor Grid,0,,Batch-Special
Temp-10,North,North-3,Lower Dir,34.8213,71.675,Sharing,Rural,Poor Grid,0,,Batch-Special
Temp-11,North,North-3,Lower Dir,34.9154,71.7437,Sharing,Rural,Bad Grid,0,,Batch-Special
Temp-13,North,North-3,Lower Dir,34.829203,71.702815,New Construction,Rural,Bad Grid,0,,Batch-Special
Temp-14,North,North-3,Lower Dir,34.717842,72.003209,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-15,North,North-3,Lower Dir,34.7888,71.9942,Sharing,Rural,Bad Grid,0,,Batch-Special
Temp-16,North,North-3,Lower Dir,34.763279,72.032388,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-17,North,North-3,Lower Dir,34.9796,71.638,Sharing,Rural,Bad Grid,0,,Batch-Special
Temp-19,North,North-3,Lower Dir,34.93785,71.66674,Sharing,Rural,Prime,0,,Batch-Special
Temp-20,North,North-3,Lower Dir,34.92883,71.716883,New Construction,Rural,Bad Grid,0,,Batch-Special
Temp-21,North,North-3,Lower Dir,35.01829,71.60712,Sharing,Rural,Bad Grid,0,,Batch-Special
Temp-25,North,North-3,Lower Dir,34.9445,71.6488,New Construction,Rural,Prime,0,,Batch-Special
Temp-31,North,North-3,Lower Dir,35.018,71.8029,New Construction,Rural,Prime,0,,Batch-Special
Temp-32,North,North-3,Lower Dir,34.992,71.8031,New Construction,Rural,Prime,0,,Batch-Special
Temp-33,North,North-3,Lower Dir,34.9715,71.8127,New Construction,Rural,Prime,0,,Batch-Special
Temp-34,North,North-3,Lower Dir,34.9695,71.7864,New Construction,Rural,Prime,0,,Batch-Special
Temp-35,North,North-3,Lower Dir,34.95195,71.72882,Sharing,Rural,Bad Grid,0,,Batch-Special
Temp-38,North,North-3,Lower Dir,35.0109,71.7832,New Construction,Rural,Prime,0,,Batch-Special
Temp-39,North,North-3,Lower Dir,35.0042,71.8119,Sharing,Rural,Prime,0,,Batch-Special
Temp-40,North,North-3,Lower Dir,34.83066,71.96809,Sharing,Rural,Bad Grid,0,,Batch-Special
Temp-42,North,North-3,Lower Dir,34.8226,71.9925,Sharing,Rural,Bad Grid,0,,Batch-Special
Temp-44,North,North-3,Lower Dir,34.7656,71.8962,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-45,North,North-3,Lower Dir,34.7263,71.8015,New Construction,Rural,Prime,0,,Batch-Special
Temp-46,North,North-3,Lower Dir,34.7434,71.8595,Sharing,Rural,Good Grid,0,,Batch-Special
Temp-47,North,North-3,Lower Dir,34.7547,71.8482,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-48,North,North-3,Lower Dir,34.6605,71.7897,Sharing,Rural,Good Grid,0,,Batch-Special
Temp-49,North,North-3,Lower Dir,34.76683,71.7957,Sharing,Rural,Prime,0,,Batch-Special
Temp-50,North,North-3,Lower Dir,34.6987,71.8086,Sharing,Rural,Good Grid,0,,Batch-Special
Temp-51,North,North-3,Lower Dir,34.731603,71.891538,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-52,North,North-3,Lower Dir,34.75191,71.93613,Sharing,Rural,Good Grid,0,,Batch-Special
Temp-53,North,North-3,Lower Dir,34.71621,71.96918,Sharing,Rural,Good Grid,0,,Batch-Special
Temp-58,North,North-3,Lower Dir,35.05538,71.77988,Sharing,Rural,Bad Grid,0,,Batch-Special
Temp-60,North,North-3,Swat,34.894867,72.528011,New Construction,Rural,Good Grid,0,Yes,Batch-Special
Temp-61,North,North-3,Swat,34.76283,72.34999,Sharing,Suburban,Good Grid,Planned Fiber POP,,Batch-Special
Temp-62,North,North-3,Swat,34.788972,72.347375,Sharing,Suburban,Good Grid,0,,Batch-Special
Temp-63,North,North-3,Swat,34.79967,72.313616,Sharing,Rural,Good Grid,0,,Batch-Special
Temp-64,North,North-3,Swat,34.778039,72.323276,New Construction,Suburban,Good Grid,0,,Batch-Special
Temp-65,North,North-3,Swat,34.767129,72.335359,New Construction,Suburban,Good Grid,0,,Batch-Special
Temp-66,North,North-3,Swat,34.80964,72.28051,Sharing,Rural,Good Grid,0,,Batch-Special
Temp-67,North,North-3,Swat,34.787558,72.235174,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-68,North,North-3,Swat,34.669331,72.343314,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-71,North,North-3,Swat,34.8065,72.5691,Sharing,Suburban,0,0,,Batch-Special
Temp-72,North,North-3,Swat,34.94143,72.47777,New Construction,Rural,Good Grid,Fiber POP,,Batch-Special
Temp-73,North,North-3,Swat,34.94125,72.47021,Sharing,Rural,Good Grid,Fiber POP,,Batch-Special
Temp-74,North,North-3,Swat,34.94843,72.527976,Sharing,Rural,Good Grid,0,Yes,Batch-Special
Temp-75,North,North-3,Swat,34.966684,72.557912,New Construction,Rural,Good Grid,0,Yes,Batch-Special
Temp-76,North,North-3,Swat,35.13811,72.54564,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-77,North,North-3,Swat,35.129649,72.510762,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-78,North,North-3,Swat,35.12306,72.5862,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-79,North,North-3,Swat,35.21206,72.5468,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-80,North,North-3,Swat,35.231385,72.568555,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-81,North,North-3,Swat,35.5425,72.6609,Sharing,Rural,Prime,0,,Batch-Special
Temp-82,North,North-3,Swat,35.52515,72.40897,Sharing,Rural,Prime,0,,Batch-Special
Temp-83,North,North-3,Swat,34.80742,72.33721,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-84,North,North-3,Swat,34.83752,72.34837,New Construction,Rural,Good Grid,0,,Batch-Special
Temp-85,North,North-3,Swat,34.824038,72.370985,New Construction,Rural,Good Grid,0,,Batch-Special
